Designator,Mid X,Mid Y,Layer,Rotation
C1,139.30,-107.80,T,90.00
C2,150.10,-96.70,T,0.00
C3,164.20,-99.77,T,270.00
C4,155.30,-121.10,T,180.00
C5,142.90,-121.60,T,180.00
C6,154.90,-96.40,T,0.00
C7,164.70,-111.80,T,270.00
C8,150.50,-121.40,T,180.00
C9,162.20,-121.10,T,270.00
C10,164.90,-108.20,T,270.00
C11,141.80,-96.70,T,90.00
C12,142.70,-124.50,T,180.00
C13,137.40,-114.60,T,90.00
C14,139.30,-114.50,T,90.00
C15,131.40,-54.90,T,90.00
C17,129.00,-140.90,T,90.00
C18,145.90,-143.60,T,270.00
C19,133.00,-114.50,T,180.00
C20,133.00,-108.50,T,0.00
D1,151.90,-147.40,T,180.00
D2,136.70,-148.10,T,0.00
J1,109.90,-111.50,T,0.00
J2,196.80,-125.30,T,270.00
J3,104.90,-111.50,T,0.00
J4,196.80,-130.30,T,270.00
J5,146.97,-56.27,T,90.00
J6,120.60,-145.80,T,0.00
J7,181.70,-140.70,T,270.00
J8,181.72,-144.40,T,270.00
J9,155.10,-68.40,T,270.00
J10,155.12,-70.90,T,270.00
J11,107.40,-111.50,T,0.00
J12,196.80,-127.80,T,270.00
J13,155.10,-65.90,T,270.00
R1,155.60,-57.20,T,90.00
R2,139.20,-58.70,T,0.00
R3,195.20,-61.50,T,0.00
R4,195.20,-64.10,T,0.00
R5,195.10,-66.60,T,0.00
R6,195.10,-69.20,T,0.00
R7,195.10,-71.70,T,0.00
R8,195.09,-74.20,T,0.00
R9,195.09,-76.80,T,0.00
R10,195.00,-79.30,T,0.00
R11,195.10,-81.90,T,0.00
R12,195.10,-84.40,T,0.00
R13,195.10,-86.90,T,0.00
R14,195.10,-89.50,T,0.00
R15,195.20,-92.00,T,0.00
R16,195.09,-94.60,T,0.00
R17,195.20,-97.10,T,0.00
R18,195.20,-99.60,T,0.00
R19,195.20,-102.20,T,0.00
R20,195.00,-104.70,T,0.00
R21,195.10,-107.20,T,0.00
R22,124.10,-63.40,T,180.00
R23,124.10,-65.90,T,180.00
R24,124.10,-68.50,T,180.00
R25,124.10,-71.10,T,180.00
R26,124.10,-73.50,T,180.00
R27,124.10,-96.40,T,180.00
R28,124.20,-99.00,T,180.00
R29,124.10,-101.50,T,180.00
R30,124.10,-104.00,T,180.00
R31,124.20,-106.70,T,180.00
R32,124.00,-78.60,T,180.00
R33,124.10,-81.20,T,180.00
R34,124.10,-83.80,T,180.00
R35,124.20,-86.20,T,180.00
R36,124.09,-88.80,T,180.00
R37,124.10,-91.30,T,180.00
R38,124.10,-93.90,T,180.00
R39,143.80,-54.60,T,90.00
R40,104.90,-63.40,T,180.00
R41,104.80,-65.90,T,180.00
R42,105.00,-68.50,T,180.00
R43,105.00,-71.10,T,180.00
R44,104.90,-73.60,T,180.00
R45,104.89,-76.10,T,180.00
R46,104.80,-78.60,T,180.00
R47,104.90,-81.20,T,180.00
R48,104.80,-83.70,T,180.00
R49,104.90,-86.20,T,180.00
R50,105.10,-88.80,T,180.00
R51,105.10,-91.30,T,180.00
R52,104.80,-96.40,T,180.00
R53,104.90,-98.90,T,180.00
R54,104.89,-101.50,T,180.00
R55,105.10,-104.10,T,180.00
R56,178.70,-66.70,T,180.00
R57,178.70,-69.20,T,180.00
R58,178.70,-71.70,T,180.00
R59,178.90,-74.30,T,180.00
R60,178.70,-76.80,T,180.00
R61,178.70,-79.30,T,180.00
R62,178.80,-81.90,T,180.00
R63,178.90,-84.40,T,180.00
R64,178.70,-86.90,T,180.00
R65,178.70,-89.50,T,180.00
R66,178.70,-92.00,T,180.00
R67,178.60,-94.50,T,180.00
R68,178.60,-97.10,T,180.00
R69,178.70,-99.60,T,180.00
R70,178.60,-102.20,T,180.00
R71,178.70,-104.70,T,180.00
R72,178.60,-107.20,T,180.00
R73,154.50,-146.50,T,90.00
R74,132.80,-148.10,T,180.00
R75,119.35,-137.01,T,90.00
R76,122.35,-137.01,T,90.00
R77,119.50,-132.80,T,90.00
R78,122.40,-132.80,T,90.00
R79,138.00,-134.50,T,180.00
SW1,137.00,-54.80,T,0.00
U1,152.00,-108.90,T,0.00
U2,136.80,-141.00,T,0.00
U3,114.50,-80.60,T,0.00
U4,186.90,-59.00,T,0.00
Y1,133.00,-111.50,T,90.00
